Date,Open,High,Low,Close
31-Jan-12,11050.61,11423.18,11050.61,11390.7
01-Feb-12,11388.31,11451.04,11232.52,11427.87
02-Feb-12,11517.88,11597.46,11248.64,11480.38
03-Feb-12,11469.22,11671.47,11410.62,11643.84
06-Feb-12,11742.19,11879.9,11710.15,11798.19
07-Feb-12,11854.84,11975.38,11787.06,11864.62
08-Feb-12,11846.15,11940.67,11728.75,11849.22
09-Feb-12,11818.26,12115.05,11808.45,12068.58
10-Feb-12,12067.41,12128.98,11895.44,11986.92
13-Feb-12,11997.89,12098.73,11877.84,12029.51
14-Feb-12,12023.52,12190.1,12001.67,12127.07
15-Feb-12,12199.37,12584.77,12199.37,12558.11
16-Feb-12,12523.3,12585.1,12402.8,12559.43
17-Feb-12,12698.06,12883.24,12656.73,12736.09
21-Feb-12,12697.25,12881.17,12697.25,12838.84
22-Feb-12,12834.79,12892.33,12315.26,12348.87
23-Feb-12,12303.05,12453.49,12198.42,12308.49
24-Feb-12,12304.63,12368.5,11997.26,12068.47
27-Feb-12,12064.18,12064.18,11562.45,11589.28
28-Feb-12,11766.01,12125.01,11689.98,12045.11
29-Feb-12,12196.51,12263.81,11889.88,11974.16
01-Mar-12,11938.09,11938.09,11695.21,11830.87
02-Mar-12,11874.63,12165.08,11728.28,11996.83
03-Mar-12,12031.53,12072.37,12011.62,12022.08
05-Mar-12,11902.72,11902.72,11675.46,11706.88
06-Mar-12,11594.79,12013.66,11524.41,11579.77
07-Mar-12,11525.5,11699.15,11441.32,11659.56
09-Mar-12,11877.53,12111.99,11877.53,12086.53
12-Mar-12,12260.01,12307.48,12134.18,12233.86
13-Mar-12,12347.42,12390.31,12281.54,12303.31
14-Mar-12,12460.01,12564.57,12395.74,12529
15-Mar-12,12533.09,12537.48,12163.82,12203.29
16-Mar-12,12219.51,12472.78,11924.1,11969.5
19-Mar-12,11999.29,11999.29,11676.97,11736.61
20-Mar-12,11709.3,11935.2,11671.21,11836.77
21-Mar-12,11791.72,12160.89,11774.33,12126.16
22-Mar-12,12130.88,12192.13,11672.47,11712.09
23-Mar-12,11804.21,11986.46,11672.48,11860.42
26-Mar-12,11812.47,11812.97,11539.88,11570.74
27-Mar-12,11740.19,11795.89,11486.55,11678.27
28-Mar-12,11606.89,11631.73,11418.31,11475.87
29-Mar-12,11355.63,11512,11346.13,11458.67
30-Mar-12,11521.49,11784.29,11521.49,11751.18
02-Apr-12,11759.95,11894.26,11729.42,11870.61
03-Apr-12,11963.57,12096.55,11963.57,12015.76
04-Apr-12,11915.17,11946.54,11841.4,11925.08
09-Apr-12,11789.91,11814.67,11691.83,11709.34
10-Apr-12,11723.76,11784.6,11628.38,11766.02
11-Apr-12,11668.63,11892.83,11616.62,11788.84
12-Apr-12,11869.82,12024.64,11869.82,11979.99
13-Apr-12,12088.23,12201.55,11804.25,11884.21
16-Apr-12,11849.71,12055.86,11849.71,12028.61
17-Apr-12,12047.35,12248.28,11832.16,12123.84
18-Apr-12,12264.62,12270.13,12076.29,12111.38
19-Apr-12,12135.57,12210.04,12031.44,12180.4
20-Apr-12,12149.35,12186.35,11979.49,12049.9
23-Apr-12,12030.23,12127.58,11768.83,11798.91
24-Apr-12,11824.22,11856.84,11706.38,11767.66
25-Apr-12,11744.19,11843.64,11579.77,11716.12
26-Apr-12,11749.55,11749.55,11611.18,11666.23
27-Apr-12,11688.75,11805.4,11563.23,11684.72
28-Apr-12,11735.53,11794.14,11719.94,11759.88
30-Apr-12,11819.3,11928.12,11777.74,11828.63
02-May-12,11895.28,11955.47,11836.32,11860.29
03-May-12,11803.09,11813.08,11630.2,11653.7
04-May-12,11599.44,11599.44,11242.69,11284.03
07-May-12,11069.52,11415.29,10929.42,11374.31
08-May-12,11400.4,11433.15,10985.91,11051.8
09-May-12,10926.87,11034.24,10778.76,10842.68
10-May-12,10872.07,11032.86,10783.88,10833.81
11-May-12,10779.46,10974.31,10722.66,10835.66
14-May-12,10893.64,10946.68,10594.68,10661.64
15-May-12,10609.4,10787.77,10609.4,10744.45
16-May-12,10566.09,10620.77,10440.07,10566.84
17-May-12,10641.03,10754.23,10508.02,10542.61
18-May-12,10396.78,10785.13,10386.92,10726.81
21-May-12,10784.18,10919.7,10784.18,10843
22-May-12,10961.91,10973.19,10660.66,10678.79
23-May-12,10620.53,10708.29,10554.09,10618.09
24-May-12,10655.5,10898.38,10595.57,10865.64
25-May-12,10846.24,10944.31,10801.58,10899.21
28-May-12,10961.92,11180.77,10961.92,11162.95
29-May-12,11227.6,11266.78,11151.46,11178.04
30-May-12,11096.31,11111.11,10956.32,10979.86
31-May-12,10826.03,10917.02,10791.71,10884.53
01-Jun-12,10883.33,10948.27,10663.89,10684.62
04-Jun-12,10564.88,10835.91,10508.45,10802.52
05-Jun-12,10885.16,10996.73,10828.44,10891.31
06-Jun-12,11004.38,11243.09,11004.38,11218.78
07-Jun-12,11332.02,11478.71,11271.09,11455.49
08-Jun-12,11429.75,11550.91,11293.58,11513.8
11-Jun-12,11641.61,11699.72,11426.16,11462.48
12-Jun-12,11419.76,11700.29,11413.87,11680.2
13-Jun-12,11698.75,11769.54,11608.42,11667.19
14-Jun-12,11606.47,11628.24,11320.32,11338.72
15-Jun-12,11409.5,11622.45,11402.73,11586.65
18-Jun-12,11717.16,11739.27,11171.87,11220.87
19-Jun-12,11220.8,11307.39,11085.73,11281.84
20-Jun-12,11343.93,11380.78,11255.31,11329.51
21-Jun-12,11259.26,11577.1,11256.72,11562.75
22-Jun-12,11435.97,11602.45,11376.73,11561.05
25-Jun-12,11643.8,11740.82,11410.16,11442.55
26-Jun-12,11440.24,11553.41,11417.4,11502.43
27-Jun-12,11593.41,11644.81,11511.02,11544.27
28-Jun-12,11573.17,11578.1,11459.46,11507.5
29-Jun-12,11670.82,11926.62,11670.82,11908.71
02-Jul-12,11926.91,12036.16,11871.95,11987.67
03-Jul-12,12057.26,12136.93,12029.28,12060.45
04-Jul-12,12144.94,12145.36,12062.99,12120.86
05-Jul-12,12083.86,12257.32,12061.73,12243.6
06-Jul-12,12232.4,12296.1,12145.81,12265.41
09-Jul-12,12195.54,12240.04,12109.59,12173.45
10-Jul-12,12217.69,12379.05,12215.08,12360.52
11-Jul-12,12308.82,12405.76,12301.41,12322.47
12-Jul-12,12266.87,12279.29,12143.56,12207.86
13-Jul-12,12245.44,12324.85,12157.86,12182.57
16-Jul-12,12221.2,12290.6,12124.08,12146.08
17-Jul-12,12259.44,12268.08,12091.89,12135.36
